Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,≤3,≥10,Apr,May,Jun,Year,Wins,Champion,Conference_Champion,Aug,Sep,Oct,Jul,M,Mar,E_Wins,E_Losses,W_Wins,W_Losses,E_Games,W_Games
15,New Orleans Pelicans,0-4,0-2,0-2,,0-4,,,,,0-4,,,0-2,0-4,,,2015,0.0,0,0,,,,,,,,,,,,
16,Toronto Raptors,0-4,0-2,0-2,0-4,,,,0-4,,,,,0-2,0-4,,,2015,0.0,0,0,,,,,,,,,,,,
1,San Antonio Spurs,16-7,11-2,5-5,4-1,12-6,,,4-1,8-3,,4-3,0-3,12-3,3-2,9-4,4-1,2014,16.0,1,1,,,,,,,,,,,,
2,Miami Heat,13-7,8-2,5-5,12-3,1-4,4-1,4-2,4-0,,,1-4,2-1,8-6,4-0,8-3,1-4,2014,13.0,0,1,,,,,,,,,,,,
3,Indiana Pacers,10-9,5-5,5-4,10-9,,,,10-9,,,,3-0,5-6,2-3,8-6,,2014,10.0,0,0,,,,,,,,,,,,
4,Oklahoma City Thunder,10-9,6-4,4-5,,10-9,,,,,4-2,6-7,2-3,5-4,2-3,8-6,,2014,10.0,0,0,,,,,,,,,,,,
5,Los Angeles Clippers,6-7,4-3,2-4,,6-7,,,,2-4,4-3,,2-2,3-2,3-2,3-5,,2014,6.0,0,0,,,,,,,,,,,,
6,Washington Wizards,6-5,1-4,5-1,6-5,,,6-5,,,,,1-2,1-2,4-1,2-4,,2014,6.0,0,0,,,,,,,,,,,,
7,Brooklyn Nets,5-7,3-2,2-5,5-7,,4-3,,1-4,,,,1-2,2-2,2-3,3-4,,2014,5.0,0,0,,,,,,,,,,,,
8,Portland Trail Blazers,5-6,3-2,2-4,,5-6,,,,,,5-6,3-0,1-5,3-2,2-4,,2014,5.0,0,0,,,,,,,,,,,,
9,Atlanta Hawks,3-4,1-2,2-2,3-4,,,3-4,,,,,0-1,2-2,3-2,0-2,,2014,3.0,0,0,,,,,,,,,,,,
10,Dallas Mavericks,3-4,2-1,1-3,,3-4,,,,,,3-4,2-0,1-1,2-3,1-1,,2014,3.0,0,0,,,,,,,,,,,,
11,Golden State Warriors,3-4,2-1,1-3,,3-4,,,,,3-4,,1-1,1-2,2-3,1-1,,2014,3.0,0,0,,,,,,,,,,,,
12,Memphis Grizzlies,3-4,1-2,2-2,,3-4,,,,3-4,,,2-1,0-3,3-2,0-2,,2014,3.0,0,0,,,,,,,,,,,,
13,Toronto Raptors,3-4,2-2,1-2,3-4,,3-4,,,,,,1-1,0-1,3-2,0-2,,2014,3.0,0,0,,,,,,,,,,,,
14,Houston Rockets,2-4,1-2,1-2,,2-4,,,,2-4,,,0-3,1-0,2-3,0-1,,2014,2.0,0,0,,,,,,,,,,,,
15,Chicago Bulls,1-4,0-3,1-1,1-4,,,,1-4,,,,1-1,,1-4,,,2014,1.0,0,0,,,,,,,,,,,,
16,Charlotte Bobcats,0-4,0-2,0-2,0-4,,,,0-4,,,,,0-3,0-4,,,2014,0.0,0,0,,,,,,,,,,,,
1,Miami Heat,16-7,10-3,6-4,12-4,4-3,,12-4,,,,4-3,3-0,12-3,4-0,7-3,5-4,2013,16.0,1,1,,,,,,,,,,,,
2,San Antonio Spurs,15-6,8-2,7-4,3-4,12-2,,,3-4,,8-2,4-0,1-1,11-3,4-0,8-2,3-4,2013,15.0,0,1,,,,,,,,,,,,
3,Indiana Pacers,11-8,8-1,3-7,11-8,,4-2,,7-6,,,,0-1,6-7,2-2,8-5,1-1,2013,11.0,0,0,,,,,,,,,,,,
4,Memphis Grizzlies,8-7,5-2,3-5,,8-7,,,,4-1,4-2,0-4,0-2,4-3,3-2,5-5,,2013,8.0,0,0,,,,,,,,,,,,
5,Golden State Warriors,6-6,4-2,2-4,,6-6,,,,4-2,,2-4,1-2,3-3,3-2,3-4,,2013,6.0,0,0,,,,,,,,,,,,
6,New York Knicks,6-6,4-2,2-4,6-6,,4-2,2-4,,,,,,4-2,3-1,3-5,,2013,6.0,0,0,,,,,,,,,,,,
7,Chicago Bulls,5-7,2-3,3-4,5-7,,4-3,,1-4,,,,1-2,0-5,3-2,2-5,,2013,5.0,0,0,,,,,,,,,,,,
8,Oklahoma City Thunder,5-6,3-3,2-3,,5-6,,,,,,5-6,3-1,1-0,3-1,2-5,,2013,5.0,0,0,,,,,,,,,,,,
9,Brooklyn Nets,3-4,2-2,1-2,3-4,,,3-4,,,,,1-1,2-0,2-3,1-1,,2013,3.0,0,0,,,,,,,,,,,,
10,Atlanta Hawks,2-4,2-1,0-3,2-4,,,2-4,,,,,,2-3,2-2,0-2,,2013,2.0,0,0,,,,,,,,,,,,
11,Boston Celtics,2-4,1-2,1-2,2-4,,2-4,,,,,,,0-2,1-3,1-1,,2013,2.0,0,0,,,,,,,,,,,,
12,Denver Nuggets,2-4,2-1,0-3,,2-4,,,,,2-4,,1-1,0-2,2-3,0-1,,2013,2.0,0,0,,,,,,,,,,,,
13,Houston Rockets,2-4,1-2,1-2,,2-4,,,,2-4,,,1-2,0-1,1-3,1-1,,2013,2.0,0,0,,,,,,,,,,,,
14,Los Angeles Clippers,2-4,2-1,0-3,,2-4,,,,,,2-4,1-0,1-4,2-3,0-1,,2013,2.0,0,0,,,,,,,,,,,,
15,Los Angeles Lakers,0-4,0-2,0-2,,0-4,,,,,,0-4,,0-4,0-4,,,2013,0.0,0,0,,,,,,,,,,,,
16,Milwaukee Bucks,0-4,0-2,0-2,0-4,,,,0-4,,,,,0-4,0-4,,,2013,0.0,0,0,,,,,,,,,,,,
1,Miami Heat,16-7,11-2,5-5,12-6,4-1,8-4,4-2,,4-1,,,0-3,10-3,2-0,8-3,6-4,2012,16.0,1,1,,,,,,,,,,,,
2,Oklahoma City Thunder,13-7,9-1,4-6,1-4,12-3,,,1-4,,4-1,8-2,4-2,5-1,2-0,7-3,4-4,2012,13.0,0,1,,,,,,,,,,,,
3,Boston Celtics,11-9,8-2,3-7,11-9,,4-3,,7-6,,,,3-2,5-3,0-1,8-6,3-2,2012,11.0,0,0,,,,,,,,,,,,
4,San Antonio Spurs,10-4,6-1,4-3,,10-4,,,,6-4,4-0,,2-0,6-1,1-0,9-1,0-3,2012,10.0,0,0,,,,,,,,,,,,
5,Philadelphia 76ers,7-6,5-1,2-5,7-6,,3-4,4-2,,,,,2-1,1-4,0-1,7-5,,2012,7.0,0,0,,,,,,,,,,,,
6,Indiana Pacers,6-5,3-3,3-2,6-5,,,,6-5,,,,2-0,4-2,1-1,5-4,,2012,6.0,0,0,,,,,,,,,,,,
7,Los Angeles Lakers,5-7,4-2,1-5,,5-7,,,,5-7,,,1-3,1-4,1-0,4-7,,2012,5.0,0,0,,,,,,,,,,,,
8,Los Angeles Clippers,4-7,2-3,2-4,,4-7,,,,,,4-7,2-2,1-4,1-0,3-7,,2012,4.0,0,0,,,,,,,,,,,,
9,Denver Nuggets,3-4,2-1,1-3,,3-4,,,,,3-4,,1-0,2-1,0-1,3-3,,2012,3.0,0,0,,,,,,,,,,,,
10,Memphis Grizzlies,3-4,2-2,1-2,,3-4,,,,,3-4,,1-2,1-1,0-1,3-3,,2012,3.0,0,0,,,,,,,,,,,,
11,Atlanta Hawks,2-4,2-1,0-3,2-4,,2-4,,,,,,1-1,0-1,1-0,1-4,,2012,2.0,0,0,,,,,,,,,,,,
12,Chicago Bulls,2-4,2-1,0-3,2-4,,2-4,,,,,,0-1,1-1,1-0,1-4,,2012,2.0,0,0,,,,,,,,,,,,
13,New York Knicks,1-4,1-1,0-3,1-4,,,,1-4,,,,1-0,0-4,0-2,1-2,,2012,1.0,0,0,,,,,,,,,,,,
14,Orlando Magic,1-4,0-2,1-2,1-4,,,1-4,,,,,0-1,0-3,1-1,0-3,,2012,1.0,0,0,,,,,,,,,,,,
15,Dallas Mavericks,0-4,0-2,0-2,,0-4,,,,0-4,,,0-2,0-1,0-2,0-2,,2012,0.0,0,0,,,,,,,,,,,,
16,Utah Jazz,0-4,0-2,0-2,,0-4,,,,,,0-4,,0-3,0-1,0-3,,2012,0.0,0,0,,,,,,,,,,,,
1,Dallas Mavericks,16-5,9-2,7-3,4-2,12-3,,,4-2,8-3,4-0,,3-2,5-0,4-2,8-2,4-1,2011,16.0,1,1,,,,,,,,,,,,
2,Miami Heat,14-7,9-2,5-5,12-3,2-4,8-2,4-1,,,,2-4,2-2,5-3,4-1,9-2,1-4,2011,14.0,0,1,,,,,,,,,,,,
3,Chicago Bulls,9-7,6-3,3-4,9-7,,,4-1,5-6,,,,0-1,6-3,4-1,5-6,,2011,9.0,0,0,,,,,,,,,,,,
4,Oklahoma City Thunder,9-8,6-3,3-5,,9-8,,,,4-1,,5-7,2-1,4-2,4-1,5-7,,2011,9.0,0,0,,,,,,,,,,,,
5,Memphis Grizzlies,7-6,5-1,2-5,,7-6,,,,3-4,,4-2,2-0,3-3,4-2,3-4,,2011,7.0,0,0,,,,,,,,,,,,
6,Atlanta Hawks,6-6,4-2,2-4,6-6,,,2-4,4-2,,,,2-0,2-5,4-2,2-4,,2011,6.0,0,0,,,,,,,,,,,,
7,Boston Celtics,5-4,3-1,2-3,5-4,,4-0,,1-4,,,,2-0,3-2,4-0,1-4,,2011,5.0,0,0,,,,,,,,,,,,
8,Los Angeles Lakers,4-6,2-3,2-3,,4-6,,,,,,4-6,0-1,3-2,4-2,0-4,,2011,4.0,0,0,,,,,,,,,,,,
9,New Orleans Hornets,2-4,1-2,1-2,,2-4,,,,,2-4,,,0-3,2-4,,,2011,2.0,0,0,,,,,,,,,,,,
10,Orlando Magic,2-4,2-1,0-3,2-4,,,,2-4,,,,0-2,1-1,2-4,,,2011,2.0,0,0,,,,,,,,,,,,
11,Portland Trail Blazers,2-4,2-1,0-3,,2-4,,,,,,2-4,1-0,0-2,2-4,,,2011,2.0,0,0,,,,,,,,,,,,
12,San Antonio Spurs,2-4,2-1,0-3,,2-4,,,,,,2-4,0-2,0-1,2-4,,,2011,2.0,0,0,,,,,,,,,,,,
13,Denver Nuggets,1-4,1-1,0-3,,1-4,,,,1-4,,,1-2,0-1,1-4,,,2011,1.0,0,0,,,,,,,,,,,,
14,Indiana Pacers,1-4,1-1,0-3,1-4,,,1-4,,,,,,0-1,1-4,,,2011,1.0,0,0,,,,,,,,,,,,
15,Philadelphia 76ers,1-4,1-1,0-3,1-4,,,,1-4,,,,,0-1,1-4,,,2011,1.0,0,0,,,,,,,,,,,,
16,New York Knicks,0-4,0-2,0-2,0-4,,0-4,,,,,,0-2,0-2,0-4,,,2011,0.0,0,0,,,,,,,,,,,,
1,Los Angeles Lakers,16-7,11-1,5-6,4-3,12-4,4-3,,,8-2,4-2,,4-0,6-1,4-2,8-2,4-3,2010,16.0,1,1,,,,,,,,,,,,
2,Boston Celtics,15-9,9-3,6-6,12-5,3-4,,4-2,8-3,,3-4,,2-0,7-4,4-1,8-4,3-4,2010,15.0,0,1,,,,,,,,,,,,
3,Orlando Magic,10-4,5-2,5-2,10-4,,2-4,,8-0,,,,0-1,6-2,4-0,6-4,,2010,10.0,0,0,,,,,,,,,,,,
4,Phoenix Suns,10-6,6-2,4-4,,10-6,,,,4-2,2-4,4-0,0-1,4-2,4-2,6-4,,2010,10.0,0,0,,,,,,,,,,,,
5,Cleveland Cavaliers,6-5,4-2,2-3,6-5,,2-4,4-1,,,,,1-1,4-3,4-1,2-4,,2010,6.0,0,0,,,,,,,,,,,,
6,Atlanta Hawks,4-7,3-3,1-4,4-7,,,4-3,0-4,,,,,4-5,3-3,1-4,,2010,4.0,0,0,,,,,,,,,,,,
7,San Antonio Spurs,4-6,3-2,1-4,,4-6,,,,,0-4,4-2,1-0,2-2,4-2,0-4,,2010,4.0,0,0,,,,,,,,,,,,
8,Utah Jazz,4-6,3-2,1-4,,4-6,,,,4-2,0-4,,1-1,2-3,4-2,0-4,,2010,4.0,0,0,,,,,,,,,,,,
9,Milwaukee Bucks,3-4,2-1,1-3,3-4,,,,3-4,,,,,1-4,3-3,0-1,,2010,3.0,0,0,,,,,,,,,,,,
10,Dallas Mavericks,2-4,2-1,0-3,,2-4,,,,,,2-4,0-1,1-2,2-4,,,2010,2.0,0,0,,,,,,,,,,,,
11,Denver Nuggets,2-4,2-1,0-3,,2-4,,,,2-4,,,0-1,2-2,2-4,,,2010,2.0,0,0,,,,,,,,,,,,
12,Oklahoma City Thunder,2-4,2-1,0-3,,2-4,,,,,2-4,,0-2,1-1,2-4,,,2010,2.0,0,0,,,,,,,,,,,,
13,Portland Trail Blazers,2-4,1-2,1-2,,2-4,,,,,2-4,,,0-3,2-4,,,2010,2.0,0,0,,,,,,,,,,,,
14,Chicago Bulls,1-4,1-1,0-3,1-4,,,1-4,,,,,1-1,0-3,1-4,,,2010,1.0,0,0,,,,,,,,,,,,
15,Miami Heat,1-4,1-1,0-3,1-4,,1-4,,,,,,0-1,0-2,1-4,,,2010,1.0,0,0,,,,,,,,,,,,
16,Charlotte Bobcats,0-4,0-2,0-2,0-4,,,,0-4,,,,,0-1,0-4,,,2010,0.0,0,0,,,,,,,,,,,,
1,Los Angeles Lakers,16-7,10-2,6-5,4-1,12-6,,,4-1,8-3,,4-3,1-2,11-3,4-1,8-5,4-1,2009,16.0,1,1,,,,,,,,,,,,
2,Orlando Magic,13-11,8-4,5-7,12-7,1-4,8-5,4-2,,,1-4,,3-4,6-4,4-2,8-5,1-4,2009,13.0,0,1,,,,,,,,,,,,
3,Cleveland Cavaliers,10-4,6-1,4-3,10-4,,,4-0,6-4,,,,1-2,9-2,4-0,6-4,,2009,10.0,0,0,,,,,,,,,,,,
4,Denver Nuggets,10-6,7-2,3-4,,10-6,,,,,2-4,8-2,2-3,8-1,4-1,6-5,,2009,10.0,0,0,,,,,,,,,,,,
5,Boston Celtics,7-7,5-3,2-4,7-7,,,4-3,3-4,,,,3-3,3-2,3-3,4-4,,2009,7.0,0,0,,,,,,,,,,,,
6,Houston Rockets,7-6,5-1,2-5,,7-6,,,,4-2,3-4,,2-0,4-5,4-2,3-4,,2009,7.0,0,0,,,,,,,,,,,,
7,Dallas Mavericks,5-5,3-1,2-4,,5-5,,,,1-4,,4-1,1-1,2-4,4-1,1-4,,2009,5.0,0,0,,,,,,,,,,,,
8,Atlanta Hawks,4-7,3-3,1-4,4-7,,,0-4,4-3,,,,,4-7,3-2,1-5,,2009,4.0,0,0,,,,,,,,,,,,
9,Chicago Bulls,3-4,2-1,1-3,3-4,,3-4,,,,,,3-2,0-2,3-3,0-1,,2009,3.0,0,0,,,,,,,,,,,,
10,Miami Heat,3-4,2-1,1-3,3-4,,,,3-4,,,,,3-4,2-3,1-1,,2009,3.0,0,0,,,,,,,,,,,,
11,Philadelphia 76ers,2-4,1-2,1-2,2-4,,,,2-4,,,,2-1,0-2,2-4,,,2009,2.0,0,0,,,,,,,,,,,,
12,Portland Trail Blazers,2-4,2-1,0-3,,2-4,,,,,,2-4,0-2,1-2,2-4,,,2009,2.0,0,0,,,,,,,,,,,,
13,New Orleans Hornets,1-4,1-1,0-3,,1-4,,,,1-4,,,1-0,0-4,1-4,,,2009,1.0,0,0,,,,,,,,,,,,
14,San Antonio Spurs,1-4,1-2,0-2,,1-4,,,,,,1-4,,1-2,1-4,,,2009,1.0,0,0,,,,,,,,,,,,
15,Utah Jazz,1-4,1-1,0-3,,1-4,,,,,1-4,,1-0,0-4,1-4,,,2009,1.0,0,0,,,,,,,,,,,,
16,Detroit Pistons,0-4,0-2,0-2,0-4,,,0-4,,,,,,0-4,0-4,,,2009,0.0,0,0,,,,,,,,,,,,
1,Boston Celtics,16-10,13-1,3-9,12-8,4-2,,8-5,4-3,,4-2,,0-1,8-3,3-2,9-6,4-2,2008,16.0,1,1,,,,,,,,,,,,
2,Los Angeles Lakers,14-7,10-1,4-6,2-4,12-3,2-4,,,8-2,,4-1,2-0,6-3,4-0,8-3,2-4,2008,14.0,0,1,,,,,,,,,,,,
3,Detroit Pistons,10-7,6-3,4-4,10-7,,6-6,,4-1,,,,1-0,5-3,3-2,7-5,,2008,10.0,0,0,,,,,,,,,,,,
4,San Antonio Spurs,9-8,7-1,2-7,,9-8,,,,,5-5,4-3,1-1,5-5,4-1,5-7,,2008,9.0,0,0,,,,,,,,,,,,
5,Cleveland Cavaliers,7-6,5-1,2-5,7-6,,3-4,,4-2,,,,1-1,4-2,3-2,4-4,,2008,7.0,0,0,,,,,,,,,,,,
6,New Orleans Hornets,7-5,6-1,1-4,,7-5,,,,,,7-5,,6-4,4-1,3-4,,2008,7.0,0,0,,,,,,,,,,,,
7,Utah Jazz,6-6,4-2,2-4,,6-6,,,,,2-4,4-2,0-2,2-3,3-2,3-4,,2008,6.0,0,0,,,,,,,,,,,,
8,Orlando Magic,5-5,4-1,1-4,5-5,,4-1,1-4,,,,,1-1,4-2,4-1,1-4,,2008,5.0,0,0,,,,,,,,,,,,
9,Atlanta Hawks,3-4,3-0,0-4,3-4,,3-4,,,,,,1-0,0-4,2-3,1-1,,2008,3.0,0,0,,,,,,,,,,,,
10,Houston Rockets,2-4,1-2,1-2,,2-4,,,,2-4,,,1-0,1-2,2-3,0-1,,2008,2.0,0,0,,,,,,,,,,,,
11,Philadelphia 76ers,2-4,1-2,1-2,2-4,,,2-4,,,,,,1-3,2-3,0-1,,2008,2.0,0,0,,,,,,,,,,,,
12,Washington Wizards,2-4,1-2,1-2,2-4,,,2-4,,,,,1-1,1-2,2-3,0-1,,2008,2.0,0,0,,,,,,,,,,,,
13,Dallas Mavericks,1-4,1-1,0-3,,1-4,,,,,,1-4,,1-3,1-4,,,2008,1.0,0,0,,,,,,,,,,,,
14,Phoenix Suns,1-4,1-1,0-3,,1-4,,,,,,1-4,0-1,1-1,1-4,,,2008,1.0,0,0,,,,,,,,,,,,
15,Toronto Raptors,1-4,1-1,0-3,1-4,,,,1-4,,,,0-1,1-3,1-4,,,2008,1.0,0,0,,,,,,,,,,,,
16,Denver Nuggets,0-4,0-2,0-2,,0-4,,,,,0-4,,,0-3,0-4,,,2008,0.0,0,0,,,,,,,,,,,,
1,San Antonio Spurs,16-4,9-2,7-2,4-0,12-4,,4-0,,8-2,4-2,,3-0,4-2,3-1,9-3,4-0,2007,16.0,1,1,,,,,,,,,,,,
2,Cleveland Cavaliers,12-8,7-3,5-5,12-4,0-4,4-2,4-2,4-0,,,0-4,2-4,4-3,4-0,7-4,1-4,2007,12.0,0,1,,,,,,,,,,,,
3,Detroit Pistons,10-6,6-2,4-4,10-6,,,6-6,4-0,,,,2-1,4-3,4-0,6-5,0-1,2007,10.0,0,0,,,,,,,,,,,,
4,Utah Jazz,9-8,7-1,2-7,,9-8,,,,,4-1,5-7,,7-3,2-3,7-5,,2007,9.0,0,0,,,,,,,,,,,,
5,Chicago Bulls,6-4,3-2,3-2,6-4,,,2-4,4-0,,,,,4-3,4-0,2-4,,2007,6.0,0,0,,,,,,,,,,,,
6,New Jersey Nets,6-6,4-2,2-4,6-6,,4-2,2-4,,,,,1-2,4-2,3-1,3-5,,2007,6.0,0,0,,,,,,,,,,,,
7,Phoenix Suns,6-5,4-2,2-3,,6-5,,,,,4-1,2-4,0-1,3-0,3-1,3-4,,2007,6.0,0,0,,,,,,,,,,,,
8,Golden State Warriors,5-6,4-1,1-5,,5-6,,,,1-4,,4-2,,4-4,3-1,2-5,,2007,5.0,0,0,,,,,,,,,,,,
9,Houston Rockets,3-4,3-1,0-3,,3-4,,,,3-4,,,,0-3,3-2,0-2,,2007,3.0,0,0,,,,,,,,,,,,
10,Dallas Mavericks,2-4,2-1,0-3,,2-4,,,,,2-4,,,1-3,1-3,1-1,,2007,2.0,0,0,,,,,,,,,,,,
11,Toronto Raptors,2-4,2-1,0-3,2-4,,2-4,,,,,,1-1,0-2,1-3,1-1,,2007,2.0,0,0,,,,,,,,,,,,
12,Denver Nuggets,1-4,0-2,1-2,,1-4,,,,,,1-4,,0-1,1-3,0-1,,2007,1.0,0,0,,,,,,,,,,,,
13,Los Angeles Lakers,1-4,1-1,0-3,,1-4,,,,,1-4,,,0-2,1-3,0-1,,2007,1.0,0,0,,,,,,,,,,,,
14,Miami Heat,0-4,0-2,0-2,0-4,,,0-4,,,,,,0-2,0-4,,,2007,0.0,0,0,,,,,,,,,,,,
15,Orlando Magic,0-4,0-2,0-2,0-4,,,0-4,,,,,,0-1,0-4,,,2007,0.0,0,0,,,,,,,,,,,,
16,Washington Wizards,0-4,0-2,0-2,0-4,,,0-4,,,,,,0-1,0-4,,,2007,0.0,0,0,,,,,,,,,,,,
1,Miami Heat,16-7,11-1,5-6,12-5,4-2,4-1,8-4,,,,4-2,4-0,9-5,2-2,9-3,5-2,2006,16.0,1,1,,,,,,,,,,,,
2,Dallas Mavericks,14-9,8-3,6-6,2-4,12-5,,,2-4,,4-2,8-3,1-6,7-2,3-0,7-5,4-4,2006,14.0,0,1,,,,,,,,,,,,
3,Detroit Pistons,10-8,8-2,2-6,10-8,,,8-4,2-4,,,,1-2,7-4,2-1,8-6,0-1,2006,10.0,0,0,,,,,,,,,,,,
4,Phoenix Suns,10-10,7-4,3-6,,10-10,,,,,8-6,2-4,2-1,4-3,1-3,9-5,0-2,2006,10.0,0,0,,,,,,,,,,,,
5,Cleveland Cavaliers,7-6,4-2,3-4,7-6,,,3-4,4-2,,,,5-1,1-3,2-2,5-4,,2006,7.0,0,0,,,,,,,,,,,,
6,Los Angeles Clippers,7-5,5-1,2-4,,7-5,,,,4-1,3-4,,1-1,5-1,3-1,4-4,,2006,7.0,0,0,,,,,,,,,,,,
7,San Antonio Spurs,7-6,5-2,2-4,,7-6,,,,,4-2,3-4,2-2,3-2,2-2,5-4,,2006,7.0,0,0,,,,,,,,,,,,
8,New Jersey Nets,5-6,2-3,3-3,5-6,,,4-2,1-4,,,,0-2,2-4,2-2,3-4,,2006,5.0,0,0,,,,,,,,,,,,
9,Los Angeles Lakers,3-4,2-1,1-3,,3-4,,,,,3-4,,1-0,0-2,3-1,0-3,,2006,3.0,0,0,,,,,,,,,,,,
10,Chicago Bulls,2-4,2-1,0-3,2-4,,,,2-4,,,,,1-2,2-2,0-2,,2006,2.0,0,0,,,,,,,,,,,,
11,Indiana Pacers,2-4,1-2,1-2,2-4,,2-4,,,,,,1-0,1-1,2-2,0-2,,2006,2.0,0,0,,,,,,,,,,,,
12,Sacramento Kings,2-4,2-1,0-3,,2-4,,,,,,2-4,1-0,1-3,2-2,0-2,,2006,2.0,0,0,,,,,,,,,,,,
13,Washington Wizards,2-4,1-2,1-2,2-4,,,2-4,,,,,0-3,1-1,2-2,0-2,,2006,2.0,0,0,,,,,,,,,,,,
14,Denver Nuggets,1-4,1-1,0-3,,1-4,,,,,1-4,,0-1,0-3,1-3,0-1,,2006,1.0,0,0,,,,,,,,,,,,
15,Milwaukee Bucks,1-4,1-1,0-3,1-4,,,1-4,,,,,,1-4,1-2,0-2,,2006,1.0,0,0,,,,,,,,,,,,
16,Memphis Grizzlies,0-4,0-2,0-2,,0-4,,,,,,0-4,,0-3,0-3,0-1,,2006,0.0,0,0,,,,,,,,,,,,
1,San Antonio Spurs,16-7,9-3,7-4,4-3,12-4,,4-3,,8-3,4-1,,3-1,9-3,2-1,9-3,5-3,2005,16.0,1,1,,,,,,,,,,,,
2,Detroit Pistons,15-10,9-3,6-7,12-6,3-4,4-1,4-2,4-3,,,3-4,0-1,10-4,2-1,8-4,5-5,2005,15.0,0,1,,,,,,,,,,,,
3,Miami Heat,11-4,6-2,5-2,11-4,,4-0,3-4,4-0,,,,1-0,5-2,3-0,7-2,1-2,2005,11.0,0,0,,,,,,,,,,,,
4,Phoenix Suns,9-6,4-4,5-2,,9-6,,,,,,9-6,0-2,4-2,3-0,6-5,0-1,2005,9.0,0,0,,,,,,,,,,,,
5,Dallas Mavericks,6-7,3-4,3-3,,6-7,,,,,2-4,4-3,2-1,2-4,2-2,4-5,,2005,6.0,0,0,,,,,,,,,,,,
6,Indiana Pacers,6-7,2-4,4-3,6-7,,4-3,2-4,,,,,1-1,2-5,2-2,4-5,,2005,6.0,0,0,,,,,,,,,,,,
7,Seattle SuperSonics,6-5,5-1,1-4,,6-5,,,,,4-1,2-4,1-1,3-4,2-1,4-4,,2005,6.0,0,0,,,,,,,,,,,,
8,Washington Wizards,4-6,3-2,1-4,4-6,,,4-2,0-4,,,,2-0,1-2,1-2,3-4,,2005,4.0,0,0,,,,,,,,,,,,
9,Boston Celtics,3-4,1-3,2-1,3-4,,,3-4,,,,,1-1,2-2,2-2,1-2,,2005,3.0,0,0,,,,,,,,,,,,
10,Houston Rockets,3-4,1-2,2-2,,3-4,,,,,,3-4,1-1,2-1,2-2,1-2,,2005,3.0,0,0,,,,,,,,,,,,
11,Chicago Bulls,2-4,2-1,0-3,2-4,,,,2-4,,,,0-2,1-1,2-1,0-3,,2005,2.0,0,0,,,,,,,,,,,,
12,Denver Nuggets,1-4,0-2,1-2,,1-4,,,,,,1-4,,0-3,1-2,0-2,,2005,1.0,0,0,,,,,,,,,,,,
13,Philadelphia 76ers,1-4,1-1,0-3,1-4,,,1-4,,,,,,1-3,1-2,0-2,,2005,1.0,0,0,,,,,,,,,,,,
14,Sacramento Kings,1-4,1-1,0-3,,1-4,,,,1-4,,,,1-2,1-2,0-2,,2005,1.0,0,0,,,,,,,,,,,,
15,Memphis Grizzlies,0-4,0-2,0-2,,0-4,,,,,0-4,,,0-2,0-3,0-1,,2005,0.0,0,0,,,,,,,,,,,,
16,New Jersey Nets,0-4,0-2,0-2,0-4,,,,0-4,,,,0-1,0-3,0-3,0-1,,2005,0.0,0,0,,,,,,,,,,,,
1,Detroit Pistons,16-7,10-3,6-4,12-6,4-1,4-3,8-3,,,4-1,,,11-3,4-1,7-5,5-1,2004,16.0,1,1,,,,,,,,,,,,
2,Los Angeles Lakers,13-9,10-1,3-8,1-4,12-5,,1-4,,,,,2-1,5-7,4-1,8-4,1-4,2004,13.0,0,1,,,,,12-5,,,,,,,
3,Indiana Pacers,10-6,6-2,4-4,10-6,,8-2,2-4,,,,,1-0,8-2,4-0,6-5,0-1,2004,10.0,0,0,,,,,,,,,,,,
4,Minnesota Timberwolves,10-8,8-2,2-6,,10-8,,,,,6-7,,4-0,5-3,4-1,6-7,,2004,10.0,0,0,,,,,4-1,,,,,,,
5,New Jersey Nets,7-4,4-1,3-3,7-4,,4-0,3-4,,,,,1-0,4-3,4-0,3-4,,2004,7.0,0,0,,,,,,,,,,,,
6,Sacramento Kings,7-5,5-1,2-4,,7-5,,,,,,,2-2,2-2,4-1,3-4,,2004,7.0,0,0,,,,,7-5,,,,,,,
7,Miami Heat,6-7,6-1,0-6,6-7,,,6-7,,,,,1-1,2-4,3-2,3-5,,2004,6.0,0,0,,,,,,,,,,,,
8,San Antonio Spurs,6-4,4-1,2-3,,6-4,,,,,2-4,,1-1,5-2,4-0,2-4,,2004,6.0,0,0,,,,,4-0,,,,,,,
9,New Orleans Hornets,3-4,3-0,0-4,3-4,,3-4,,,,,,0-1,1-1,2-3,1-1,,2004,3.0,0,0,,,,,,,,,,,,
10,Dallas Mavericks,1-4,1-1,0-3,,1-4,,,,,1-4,,0-2,1-1,1-4,,,2004,1.0,0,0,,,,,,,,,,,,
11,Denver Nuggets,1-4,1-1,0-3,,1-4,,,,,,,0-1,1-3,1-4,,,2004,1.0,0,0,,,,,1-4,,,,,,,
12,Houston Rockets,1-4,1-1,0-3,,1-4,,,,,1-4,,0-1,1-2,1-4,,,2004,1.0,0,0,,,,,,,,,,,,
13,Milwaukee Bucks,1-4,0-2,1-2,1-4,,,1-4,,,,,,0-4,1-4,,,2004,1.0,0,0,,,,,,,,,,,,
14,Boston Celtics,0-4,0-2,0-2,0-4,,,0-4,,,,,,0-4,0-4,,,2004,0.0,0,0,,,,,,,,,,,,
